animal_id,outcome_type
A673385,Euthanasia
A669133,Return to Owner
A737612,Adoption
A745148,Adoption
A731807,Adoption
A692149,Adoption
A747353,Adoption
A759790,Adoption
A733654,Transfer
A673650,Transfer
A695429,Adoption
A714499,Return to Owner
A672514,Adoption
A697023,Adoption
A669020,Adoption
A763179,Adoption
A697263,Transfer
A683761,Transfer
A679330,Adoption
A690101,Adoption
A709194,Transfer
A749632,Adoption
A685518,Adoption
A750391,Adoption
A723964,Adoption
A693065,Return to Owner
A704397,Transfer
A678174,Return to Owner
A706272,Adoption
A762737,Return to Owner
A672170,Transfer
A683788,Transfer
A675950,Return to Owner
A611982,Return to Owner
A747991,Adoption
A701939,Adoption
A693158,Adoption
A665717,Adoption
A726242,Adoption
A703273,Adoption
A755825,Adoption
A748111,Adoption
A755643,Adoption
A673569,Transfer
A670007,Transfer
A740078,Adoption
A764287,Adoption
A729075,Transfer
A699811,Transfer
A675645,Transfer
A684073,Transfer
A678717,Adoption
A729569,Return to Owner
A697409,Transfer
A745855,Transfer
A555376,Return to Owner
A747703,Transfer
A701193,Adoption
A677283,Adoption
A739297,Transfer
A754654,Transfer
A713360,Adoption
A720757,Disposal
A719591,Adoption
A672240,Adoption
A710853,Adoption
A664622,Return to Owner
A757326,Transfer
A681510,Return to Owner
A718646,Adoption
A695800,Adoption
A687758,Transfer
A742322,Return to Owner
A733189,Adoption
A744083,Adoption
A695285,Return to Owner
A744729,Euthanasia
A677443,Adoption
A669006,Transfer
A693317,Return to Owner
A757532,Adoption
A760255,Adoption
A640516,Adoption
A741657,Adoption
A697025,Transfer
A694538,Transfer
A723951,Transfer
A713101,Adoption
A742238,Adoption
A691193,Transfer
A700124,Adoption
A699774,Transfer
A745160,Transfer
A751549,Euthanasia
A678590,Adoption
A726486,Adoption
A744028,Euthanasia
A685751,Adoption
A744195,Adoption
A646455,Return to Owner
A709143,Adoption
A719343,Adoption
A675488,Transfer
A733516,Euthanasia
A675828,Adoption
A677706,Transfer
A729622,Transfer
A676084,Adoption
A708886,Transfer
A644592,Return to Owner
A668476,Return to Owner
A764570,Transfer
A749707,Adoption
A734022,Transfer
A684356,Transfer
A704667,Transfer
A717123,Transfer
A746818,Adoption
A699926,Adoption
A671079,Adoption
A727153,Transfer
A696823,Died
A713454,Transfer
A613942,Return to Owner
A703805,Adoption
A735313,Return to Owner
A746513,Return to Owner
A696352,Return to Owner
A730947,Transfer
A753770,Euthanasia
A737057,Adoption
A720128,Adoption
A674484,Adoption
A675758,Adoption
A739945,Adoption
A697353,Adoption
A727482,Adoption
A758584,Adoption
A677771,Adoption
A705914,Euthanasia
A717125,Transfer
A727627,Return to Owner
A672475,Return to Owner
A744514,Adoption
A729542,Return to Owner
A701503,Adoption
A702284,Adoption
A743157,Euthanasia
A758664,Adoption
A718986,Return to Owner
A757730,Adoption
A726473,Died
A761830,Adoption
A690676,Adoption
A719517,Transfer
A687324,Transfer
A706447,Adoption
A680587,Adoption
A651783,Transfer
A759330,Adoption
A695944,Euthanasia
A690555,Transfer
A695642,Transfer
A673294,Disposal
A694545,Return to Owner
A691698,Adoption
A719407,Transfer
A675699,Return to Owner
A764374,Euthanasia
A689601,Adoption
A683902,Adoption
A761419,Adoption
A724176,Euthanasia
A689536,Euthanasia
A743373,Adoption
A689683,Died
A694178,Transfer
A675708,Adoption
A756320,Transfer
A759308,Adoption
A683020,Return to Owner
A733249,Return to Owner
A670995,Adoption
A727382,Adoption
A727091,Adoption
A685694,Adoption
A723347,Transfer
A741214,Transfer
A703276,Transfer
A690644,Adoption
A689692,Transfer
A686973,Adoption
A748811,Transfer
A685149,Adoption
A739645,Return to Owner
A734428,Return to Owner
A672702,Euthanasia
A711335,Adoption
A726857,Transfer
A746325,Transfer
A729011,Adoption
A701060,Adoption
A603620,Adoption
A728099,Transfer
A732553,Transfer
A711952,Transfer
A694402,Adoption
A691174,Adoption
A665351,Adoption
A740670,Adoption
A726992,Adoption
A724326,Adoption
A710536,Adoption
A717808,Adoption
A676612,Transfer
A719162,Transfer
A608071,Adoption
A701887,Adoption
A709676,Adoption
A753503,Transfer
A749628,Adoption
A734948,Adoption
A692118,Adoption
A751854,Adoption
A715515,Adoption
A680265,Transfer
A763119,Adoption
A737775,Transfer
A535124,Adoption
A681465,Adoption
A705263,Return to Owner
A761324,Adoption
A741921,Transfer
A722488,Adoption
A738410,Adoption
A743762,Transfer
A704844,Transfer
A722784,Euthanasia
A699769,Transfer
A680373,Euthanasia
A723545,Adoption
A702446,Transfer
A749159,Return to Owner
A678731,Return to Owner
A714795,Transfer
A723735,Transfer
A726000,Transfer
A749444,Transfer
A671994,Return to Owner
A680420,Adoption
A744403,Adoption
A687539,Adoption
A676713,Return to Owner
A754590,Adoption
A729854,Transfer
A674368,Return to Owner
A753978,Transfer
A724823,Adoption
A706649,Transfer
A752061,Adoption
A757340,Transfer
A692544,Return to Owner
A685793,Adoption
A727667,Adoption
A673990,Transfer
A697762,Adoption
A698999,Transfer
A583676,Return to Owner
A493167,Adoption
A682307,Adoption
A756404,Transfer
A728345,Adoption
A686230,Transfer
A728774,Adoption
A675808,Adoption
A714565,Adoption
A760764,Return to Owner
A716693,Adoption
A711381,Transfer
A761336,Transfer
A687593,Transfer
A665151,Transfer
A684665,Euthanasia
A746533,Euthanasia
A722409,Adoption
A641085,Return to Owner
A685339,Return to Owner
A712924,Adoption
A688369,Transfer
A689461,Adoption
A717196,Transfer
A758922,Adoption
A672149,Euthanasia
A749512,Transfer
A691871,Euthanasia
A661245,Return to Owner
A755791,Return to Owner
A704735,Transfer
A667401,Transfer
A750630,Transfer
A669168,Adoption
A718052,Return to Owner
A750663,Transfer
A705005,Transfer
A660344,Adoption
A669076,Adoption
A670084,Transfer
A720146,Return to Owner
A688136,Adoption
A720230,Transfer
A704254,Died
A678740,Transfer
A748778,Transfer
A707347,Adoption
A701513,Return to Owner
A693805,Euthanasia
A721859,Euthanasia
A751960,Return to Owner
A696231,Adoption
A699223,Return to Owner
A714525,Adoption
A708868,Adoption
A739013,Adoption
A706738,Transfer
A653309,Return to Owner
A675963,Adoption
A738460,Transfer
A705862,Transfer
A678200,Adoption
A684313,Transfer
A697573,Return to Owner
A677489,Transfer
A680043,Transfer
A709213,Return to Owner
A655933,Transfer
A710998,Transfer
A678466,Transfer
A606644,Return to Owner
A752094,Adoption
A727317,Adoption
A707288,Return to Owner
A706860,Adoption
A665303,Transfer
A685889,Transfer
A763374,Adoption
A713789,Adoption
A764611,Return to Owner
A724148,Transfer
A734585,Adoption
A759950,Transfer
A751071,Transfer
A753171,Euthanasia
A694067,Adoption
A687977,Adoption
A700507,Adoption
A727617,Adoption
A676890,Return to Owner
A667187,Transfer
A728198,Euthanasia
A749920,Adoption
A618850,Return to Owner
A698403,Adoption
A759132,Adoption
A669966,Euthanasia
A701306,Adoption
A762011,Euthanasia
A684609,Adoption
A754181,Adoption
A698342,Disposal
A701973,Adoption
A716608,Return to Owner
A699742,Transfer
A706309,Transfer
A763392,Return to Owner
A703689,Transfer
A736340,Adoption
A640416,Transfer
A717499,Adoption
A693314,Adoption
A716218,Adoption
A723351,Transfer
A711534,Adoption
A673413,Return to Owner
A743493,Return to Owner
A692430,Return to Owner
A719555,Return to Owner
A665472,Adoption
A662398,Adoption
A711332,Adoption
A666389,Return to Owner
A673339,Adoption
A763809,Return to Owner
A729753,Euthanasia
A664830,Euthanasia
A562836,Return to Owner
A700985,Transfer
A730188,Adoption
A716789,Return to Owner
A688771,Euthanasia
A761928,Transfer
A655916,Return to Owner
A758912,Return to Owner
A707707,Return to Owner
A723712,Transfer
A713171,Transfer
A742234,Return to Owner
A762568,Return to Owner
A689792,Adoption
A760249,Adoption
A712866,Adoption
A717276,Euthanasia
A716572,Transfer
A724095,Adoption
A741315,Adoption
A711991,Transfer
A679596,Return to Owner
A703140,Return to Owner
A693410,Adoption
A742047,Transfer
A712758,Adoption
A707610,Adoption
A672533,Euthanasia
A702822,Transfer
A735273,Adoption
A742183,Return to Owner
A701774,Transfer
A763382,Return to Owner
A704180,Adoption
A668160,Transfer
A756699,Return to Owner
A746949,Adoption
A754882,Euthanasia
A665219,Adoption
A728444,Adoption
A666170,Adoption
A691946,Transfer
A708073,Transfer
A714199,Transfer
A693034,Return to Owner
A669999,Adoption
A677932,Adoption
A693368,Return to Owner
A682902,Adoption
A676887,Return to Owner
A754646,Euthanasia
A718123,Adoption
A729094,Adoption
A717484,Transfer
A671159,Euthanasia
A686672,Transfer
A662612,Return to Owner
A674846,Return to Owner
A716196,Adoption
A671532,Transfer
A750194,Adoption
A718984,Adoption
A684225,Adoption
A703267,Transfer
A701192,Return to Owner
A740352,Disposal
A756141,Adoption
A731473,Adoption
A722294,Euthanasia
A737783,Adoption
A704785,Transfer
A666739,Transfer
A664677,Transfer
A762898,Return to Owner
A674905,Return to Owner
A684680,Transfer
A674834,Euthanasia
A666698,Transfer
A671479,Transfer
A682491,Adoption
A667093,Transfer
A678802,Adoption
A763877,Transfer
A674771,Return to Owner
A757696,Adoption
A670498,Adoption
A678691,Euthanasia
A717537,Adoption
A753154,Transfer
A676666,Euthanasia
A748934,Adoption
A702378,Adoption
A759190,Adoption
A694450,Transfer
A743132,Transfer
A759553,Return to Owner
A723534,Disposal
A687043,Return to Owner
A739911,Transfer
A742175,Return to Owner
A683062,Adoption
A702259,Transfer
A696639,Transfer
A750015,Transfer
A721610,Adoption
A731816,Adoption
A731146,Adoption
A692197,Transfer
A715050,Return to Owner
A748087,Transfer
A725193,Died
A705345,Adoption
A724491,Return to Owner
A695354,Adoption
A718704,Return to Owner
A709216,Return to Owner
A717274,Transfer
A650531,Return to Owner
A689555,Adoption
A665655,Transfer
A725603,Adoption
A718598,Adoption
A667792,Transfer
A712997,Adoption
A739783,Adoption
A611641,Return to Owner
A746973,Adoption
A643401,Adoption
A682783,Adoption
A752630,Adoption
A697133,Transfer
A664338,Transfer
A715294,Return to Owner
A691789,Adoption
A705059,Adoption
A685038,Died
A729098,Transfer
A689305,Adoption
A677659,Adoption
A761767,Adoption
A682395,Transfer
A681494,Transfer
A719539,Transfer
A728149,Euthanasia
A668866,Adoption
A695816,Transfer
A757693,Transfer
A753246,Adoption
A677223,Adoption
A706671,Transfer
A730589,Adoption
A390222,Adoption
A735057,Transfer
A711486,Adoption
A690440,Transfer
A694210,Euthanasia
A755262,Transfer
A713338,Transfer
A695214,Adoption
A630814,Return to Owner
A748170,Return to Owner
A731198,Return to Owner
A761251,Adoption
A693948,Adoption
A674959,Transfer
A693977,Adoption
A717067,Adoption
A666685,Return to Owner
A660042,Adoption
A727277,Adoption
A679635,Transfer
A690877,Adoption
A700719,Transfer
A698997,Transfer
A763991,Adoption
A751703,Transfer
A682431,Euthanasia
A662552,Adoption
A632022,Transfer
A759564,Adoption
A708742,Adoption
A670595,Euthanasia
A684798,Return to Owner
A751181,Transfer
A683455,Transfer
A706263,Euthanasia
A673871,Transfer
A689399,Return to Owner
A738985,Adoption
A723492,Return to Owner
A708084,Transfer
A665738,Return to Owner
A753524,Transfer
A749318,Transfer
A758758,Adoption
A692786,Euthanasia
A666314,Euthanasia
A765006,Return to Owner
A733333,Adoption
A717718,Adoption
A720499,Adoption
A682587,Adoption
A666907,Adoption
A717099,Adoption
A680494,Return to Owner
A759807,Transfer
A758865,Adoption
A704918,Adoption
A708077,Transfer
A672436,Adoption
A696718,Adoption
A730087,Transfer
A732004,Adoption
A749718,Adoption
A734375,Adoption
A708669,Adoption
A700990,Transfer
A673521,Adoption
A518937,Return to Owner
A692922,Return to Owner
A757279,Adoption
A743554,Transfer
A708331,Adoption
A725399,Adoption
A695370,Adoption
A732272,Adoption
A691278,Transfer
A737654,Adoption
A729313,Adoption
A691814,Adoption
A681344,Transfer
A732456,Return to Owner
A700878,Transfer
A743984,Return to Owner
A721694,Euthanasia
A584263,Return to Owner
A759567,Transfer
A675193,Return to Owner
A735774,Transfer
A720130,Adoption
A692800,Transfer
A756147,Transfer
A733103,Adoption
A673065,Adoption
A747777,Transfer
A681410,Adoption
A729016,Transfer
A669850,Adoption
A645138,Return to Owner
A750744,Adoption
A755515,Adoption
A732565,Adoption
A692608,Return to Owner
A739466,Adoption
A666073,Transfer
A349334,Return to Owner
A680626,Transfer
A691251,Adoption
A753272,Adoption
A714946,Euthanasia
A669930,Adoption
A764941,Adoption
A718229,Adoption
A731024,Transfer
A733651,Adoption
A670191,Transfer
A747740,Adoption
A700694,Adoption
A720159,Adoption
A750962,Adoption
A709995,Transfer
A694731,Transfer
A661386,Adoption
A686302,Return to Owner
A673394,Adoption
A675391,Euthanasia
A679850,Transfer
A703834,Transfer
A664782,Transfer
A703850,Transfer
A678781,Adoption
A692447,Transfer
A761409,Adoption
A676795,Transfer
A670171,Transfer
A692560,Adoption
A697486,Transfer
A684944,Euthanasia
A675862,Adoption
A730842,Return to Owner
A756944,Transfer
A722818,Euthanasia
A685516,Adoption
A642317,Return to Owner
A715621,Transfer
A742602,Return to Owner
A729907,Adoption
A716862,Transfer
A693036,Return to Owner
A671050,Transfer
A620531,Return to Owner
A751581,Adoption
A758766,Transfer
A687598,Transfer
A706153,Adoption
A761100,Adoption
A688150,Adoption
A714860,Died
A719570,Transfer
A658013,Euthanasia
A694956,Adoption
A688108,Adoption
A745476,Transfer
A711330,Adoption
A738984,Transfer
A607903,Adoption
A689316,Adoption
A665068,Transfer
A640018,Transfer
A694905,Adoption
A678415,Transfer
A727912,Adoption
A730925,Transfer
A702494,Transfer
A701083,Transfer
A677593,Transfer
A738085,Died
A727621,Adoption
A672274,Euthanasia
A686683,Euthanasia
A726326,Adoption
A717866,Transfer
A734248,Adoption
A723249,Euthanasia
A741059,Return to Owner
A749611,Adoption
A717671,Return to Owner
A666241,Adoption
A708670,Adoption
A679631,Euthanasia
A733307,Euthanasia
A757183,Adoption
A695180,Return to Owner
A738366,Euthanasia
A757870,Adoption
A677818,Transfer
A763562,Adoption
A729191,Adoption
A759492,Return to Owner
A681460,Return to Owner
A399421,Return to Owner
A695666,Transfer
A673869,Adoption
A756088,Adoption
A555557,Return to Owner
A548156,Return to Owner
A703979,Transfer
A699816,Adoption
A747081,Adoption
A713879,Transfer
A675058,Adoption
A638155,Return to Owner
A738903,Adoption
A681246,Adoption
A715028,Euthanasia
A673524,Transfer
A681563,Transfer
A685615,Transfer
A696396,Adoption
A694038,Euthanasia
A692368,Euthanasia
A688304,Adoption
A715257,Adoption
A674286,Euthanasia
A714949,Adoption
A664935,Adoption
A725649,Return to Owner
A700944,Transfer
A705704,Died
A603736,Adoption
A751006,Adoption
A759533,Adoption
A686388,Adoption
A718063,Adoption
A716241,Transfer
A754072,Adoption
A684272,Euthanasia
A742482,Return to Owner
A687600,Return to Owner
A673917,Transfer
A744173,Euthanasia
A666212,Adoption
A713641,Return to Owner
A709610,Transfer
A710006,Transfer
A701484,Transfer
A715295,Return to Owner
A679972,Transfer
A725625,Transfer
A700860,Euthanasia
A676684,Transfer
A750753,Adoption
A735615,Adoption
A744354,Transfer
A752259,Adoption
A737448,Transfer
A710171,Adoption
A764365,Return to Owner
A739178,Return to Owner
A749437,Return to Owner
A729468,Adoption
A741029,Return to Owner
A689670,Transfer
A696833,Adoption
A759182,Transfer
A724057,Adoption
A711413,Transfer
A484945,Transfer
A748103,Transfer
A709413,Adoption
A744391,Adoption
A736528,Adoption
A720460,Adoption
A699169,Return to Owner
A740618,Return to Owner
A717309,Adoption
A759968,Transfer
A682121,Adoption
A701255,Transfer
A679737,Transfer
A726419,Transfer
A665203,Transfer
A648872,Return to Owner
A718774,Transfer
A670814,Adoption
A667182,Adoption
A729537,Euthanasia
A717354,Transfer
A751569,Adoption
A746522,Transfer
A689238,Transfer
A675577,Euthanasia
A738615,Return to Owner
A678389,Transfer
A685363,Adoption
A688236,Adoption
A693587,Transfer
A732120,Transfer
A678989,Transfer
A745138,Adoption
A712208,Adoption
A678881,Adoption
A690186,Adoption
A716593,Adoption
A587278,Adoption
A719330,Adoption
A686501,Adoption
A664524,Adoption
A760069,Adoption
A700294,Adoption
A685492,Transfer
A684893,Return to Owner
A692270,Died
A711784,Disposal
A678141,Transfer
A658787,Return to Owner
A741057,Return to Owner
A760053,Adoption
A763034,Adoption
A691971,Transfer
A733698,Transfer
A712727,Adoption
A726731,Return to Owner
A723160,Return to Owner
A745073,Transfer
A700136,Died
A701777,Adoption
A730676,Transfer
A551384,Return to Owner
A686227,Disposal
A724953,Adoption
A761007,Transfer
A675078,Transfer
A736102,Transfer
A762216,Adoption
A758196,Euthanasia
A685792,Adoption
A736348,Adoption
A664692,Transfer
A745994,Adoption
A683226,Transfer
A739947,Return to Owner
A763314,Adoption
A682738,Transfer
A696843,Return to Owner
A695245,Adoption
A646174,Return to Owner
A739282,Adoption
A719103,Adoption
A755361,Adoption
A748315,Died
A694425,Return to Owner
A737461,Transfer
A690936,Transfer
A743405,Transfer
A669142,Transfer
A672352,Adoption
A666168,Transfer
A753084,Transfer
A682599,Adoption
A695267,Adoption
A753297,Adoption
A680918,Transfer
A742468,Adoption
A680453,Euthanasia
A733187,Transfer
A760759,Adoption
A499024,Return to Owner
A722262,Adoption
A732138,Euthanasia
A675169,Euthanasia
A731229,Transfer
A719397,Adoption
A703160,Adoption
A705623,Adoption
A680821,Adoption
A720831,Euthanasia
A713334,Transfer
A742465,Adoption
A668015,Return to Owner
A737128,Transfer
A762780,Adoption
A757291,Adoption
A690927,Euthanasia
A685207,Transfer
A742939,Transfer
A755475,Adoption
A670127,Adoption
A718926,Return to Owner
A684127,Adoption
A697746,Transfer
A712136,Adoption
A669926,Transfer
A763563,Adoption
A749642,Adoption
A677781,Adoption
A710593,Euthanasia
A760845,Transfer
A666055,Adoption
A751541,Adoption
A688095,Transfer
A687879,Transfer
A711755,Return to Owner
A717706,Return to Owner
A740604,Return to Owner
A729153,Adoption
A689248,Adoption
A759292,Adoption
A740387,Adoption
A759006,Return to Owner
A712947,Adoption
A753483,Euthanasia
A729232,Adoption
A721573,Euthanasia
A667799,Return to Owner
A673935,Euthanasia
A752443,Adoption
A760227,Return to Owner
A745715,Adoption
A668525,Adoption
A744777,Adoption
A706651,Transfer
A716344,Transfer
A689948,Euthanasia
A709311,Adoption
A736577,Adoption
A680463,Adoption
A686215,Transfer
A747313,Transfer
A667939,Died
A719832,Adoption
A733018,Transfer
A682663,Adoption
A723950,Return to Owner
A737418,Euthanasia
A677387,Transfer
A718197,Adoption
A733705,Return to Owner
A747733,Euthanasia
A717621,Transfer
A679637,Transfer
A732814,Transfer
A595045,Rto-Adopt
A754076,Transfer
A762438,Adoption
A730983,Return to Owner
A690307,Euthanasia
A741068,Euthanasia
A765746,Return to Owner
A758016,Adoption
A743630,Adoption
A722239,Adoption
A688404,Transfer
A709397,Transfer
A716316,Adoption
A690320,Adoption
A683344,Transfer
A677529,Adoption
A727009,Return to Owner
A750211,Adoption
A719903,Adoption
A754997,Adoption
A744162,Return to Owner
A685786,Transfer
A711897,Adoption
A740940,Adoption
A761510,Transfer
A755576,Adoption
A695436,Transfer
A723054,Adoption
A733678,Adoption
A694551,Adoption
A709599,Adoption
A705358,Adoption
A713351,Transfer
A735299,Euthanasia
A687511,Adoption
A697299,Adoption
A758724,Adoption
A749068,Transfer
A676855,Transfer
A724266,Return to Owner
A750932,Return to Owner
A665793,Adoption
A727143,Transfer
A732559,Adoption
A725289,Euthanasia
A679298,Euthanasia
A737854,Return to Owner
A731849,Adoption
A689185,Adoption
A752469,Euthanasia
A760785,Transfer
A721825,Euthanasia
A730788,Adoption
A708783,Transfer
A706873,Euthanasia
A763596,Adoption
A704370,Euthanasia
A704385,Adoption
A491810,Euthanasia
A672516,Transfer
A685072,Transfer
A742918,Adoption
A759383,Adoption
A682099,Return to Owner
A711544,Adoption
A694986,Transfer
A731726,Transfer
A757190,Adoption
A758692,Transfer
A701597,Adoption
A751009,Adoption
A694497,Return to Owner
A717025,Adoption
A700551,Adoption
A742696,Return to Owner
A709898,Euthanasia
A717468,Adoption
A752608,Euthanasia
A678711,Adoption
A605804,Adoption
A682829,Adoption
A676860,Transfer
A716730,Adoption
A664441,Adoption
A743077,Euthanasia
A735934,Return to Owner
A722550,Return to Owner
A661910,Adoption
A720192,Transfer
A627862,Return to Owner
A764362,Disposal
A688510,Transfer
A733031,Transfer
A665221,Transfer
A721277,Adoption
A759305,Transfer
A764613,Adoption
A739005,Adoption
A701167,Transfer
A711819,Adoption
A704986,Died
A695950,Adoption
A723323,Return to Owner
A687528,Transfer
A757934,Adoption
A726423,Adoption
A740374,Adoption
A754537,Adoption
A682436,Transfer
A690725,Adoption
A717920,Adoption
A741925,Adoption
A701023,Euthanasia
A684292,Euthanasia
A688106,Adoption
A750652,Transfer
A749701,Adoption
A684585,Transfer
A711462,Adoption
A748305,Transfer
A716587,Transfer
A668923,Adoption
A703163,Adoption
A689455,Adoption
A711281,Return to Owner
A683992,Died
A659201,Adoption
A683966,Adoption
A757039,Adoption
A500065,Return to Owner
A680262,Transfer
A686885,Transfer
A759684,Return to Owner
A552145,Return to Owner
A737582,Adoption
A762701,Adoption
A664537,Return to Owner
A730203,Died
A715641,Adoption
A652379,Euthanasia
A678359,Adoption
A703243,Transfer
A721771,Transfer
A718260,Return to Owner
A750941,Disposal
A665367,Transfer
A570086,Return to Owner
A699857,Adoption
A710884,Adoption
A712235,Adoption
A703432,Adoption
A691299,Transfer
A682459,Adoption
A676608,Return to Owner
A753594,Euthanasia
A666922,Transfer
A693746,Adoption
A718789,Return to Owner
A673645,Euthanasia
A400680,Adoption
A720989,Adoption
A598657,Adoption
A683044,Return to Owner
A664595,Transfer
A731519,Adoption
A669122,Return to Owner
A725687,Transfer
A744500,Return to Owner
A744032,Transfer
A759166,Adoption
A756144,Return to Owner
A678454,Adoption
A715614,Adoption
A716910,Adoption
A705590,Adoption
A696188,Return to Owner
A742158,Adoption
A728455,Transfer
A672661,Return to Owner
A725494,Adoption
A718829,Transfer
A685594,Transfer
A618957,Return to Owner
A752993,Adoption
A737386,Transfer
A712630,Adoption
A757815,Euthanasia
A694814,Transfer
A680088,Adoption
A735418,Adoption
A715887,Transfer
A722248,Adoption
A747523,Adoption
A693843,Adoption
A672429,Adoption
A688003,Euthanasia
A755822,Transfer
A723713,Transfer
A742796,Adoption
A758258,Adoption
A654355,Euthanasia
A688096,Adoption
A739069,Adoption
A666861,Transfer
A711367,Transfer
A705494,Transfer
A761287,Adoption
A666943,Return to Owner
A686022,Euthanasia
A723642,Transfer
A701904,Transfer
A672918,Adoption
A678747,Return to Owner
A753869,Adoption
A705778,Transfer
A720093,Transfer
A732981,Adoption
A727432,Transfer
A743598,Adoption
A676797,Euthanasia
A703842,Adoption
A664633,Euthanasia
A712218,Transfer
A726435,Adoption
A697715,Transfer
A738977,Transfer
A735424,Adoption
A734860,Adoption
A702963,Transfer
A684574,Adoption
A736546,Adoption
A717561,Transfer
A731023,Transfer
A731054,Adoption
A723518,Adoption
A742403,Transfer
A653055,Return to Owner
A719646,Adoption
A732358,Adoption
A700088,Return to Owner
A683487,Return to Owner
A709296,Return to Owner
A714260,Transfer
A750279,Adoption
A703300,Transfer
A668299,Return to Owner
A754088,Adoption
A691112,Transfer
A693871,Adoption
A735741,Adoption
A666178,Transfer
A742747,Return to Owner
A737080,Adoption
A609918,Return to Owner
A761300,Adoption
A753598,Transfer
A718664,Return to Owner
A744521,Transfer
A707985,Transfer
A676883,Return to Owner
A744285,Transfer
A751397,Adoption
A723938,Return to Owner
A683528,Return to Owner
A686438,Euthanasia
A668014,Adoption
A670509,Adoption
A705711,Adoption
A756412,Adoption
A735077,Transfer
A730730,Adoption
A700147,Adoption
A662615,Adoption
A760490,Adoption
A716140,Adoption
A666942,Euthanasia
A721708,Return to Owner
A711174,Transfer
A749865,Transfer
A714479,Adoption
A670065,Return to Owner
A668133,Adoption
A721428,Transfer
A699227,Adoption
A714785,Adoption
A743293,Transfer
A758756,Adoption
A765738,Adoption
A717312,Transfer
A682922,Transfer
A694481,Transfer
A745703,Euthanasia
A694824,Adoption
A725497,Transfer
A685477,Adoption
A712202,Transfer
A748430,Adoption
A702418,Adoption
A714808,Transfer
A669507,Adoption
A753227,Transfer
A712104,Transfer
A707260,Adoption
A734539,Transfer
A706744,Transfer
A759753,Transfer
A716090,Adoption
A718966,Return to Owner
A713365,Transfer
A726525,Adoption
A701494,Return to Owner
A708991,Transfer
A718139,Adoption
A742203,Transfer
A742081,Adoption
A680469,Adoption
A665628,Adoption
A684543,Adoption
A601675,Return to Owner
A745908,Adoption
A689482,Adoption
A757986,Return to Owner
A736475,Adoption
A670617,Adoption
A680908,Adoption
A722182,Transfer
A728584,Adoption
A705578,Adoption
A699969,Transfer
A743916,Transfer
A697649,Adoption
A713202,Transfer
A702576,Adoption
A739933,Transfer
A738550,Transfer
A696841,Return to Owner
A699953,Adoption
A691026,Adoption
A690544,Transfer
A699137,Adoption
A677628,Adoption
A732953,Return to Owner
A747190,Adoption
A757979,Adoption
A736071,Adoption
A737501,Transfer
A760975,Return to Owner
A748445,Adoption
A565460,Return to Owner
A675514,Adoption
A720414,Adoption
A764468,Adoption
A695645,Adoption
A749017,Transfer
A722539,Adoption
A759097,Rto-Adopt
A713462,Transfer
A691848,Transfer
A673886,Transfer
A759932,Transfer
A677710,Adoption
A665189,Euthanasia
A708596,Adoption
A746511,Transfer
A539570,Return to Owner
A685962,Transfer
A722604,Adoption
A689932,Return to Owner
A687951,Transfer
A668204,Adoption
A736976,Adoption
A760194,Transfer
A668786,Adoption
A742717,Transfer
A663983,Transfer
A750764,Adoption
A678500,Return to Owner
A668263,Died
A647481,Transfer
A749937,Adoption
A664043,Transfer
A669855,Return to Owner
A733561,Adoption
A751553,Transfer
A734461,Adoption
A728126,Adoption
A738453,Adoption
A700216,Adoption
A737882,Adoption
A716888,Transfer
A664710,Adoption
A745838,Adoption
A756329,Return to Owner
A719189,Adoption
A733560,Adoption
A730822,Adoption
A628886,Return to Owner
A718967,Adoption
A678984,Adoption
A690233,Return to Owner
A702393,Adoption
A708485,Transfer
A615479,Transfer
A703521,Return to Owner
A708104,Return to Owner
A662353,Adoption
A699890,Adoption
A677196,Adoption
A721288,Adoption
A736784,Transfer
A763911,Return to Owner
A718972,Transfer
A719334,Transfer
A665866,Return to Owner
A667378,Adoption
A723584,Adoption
A736263,Adoption
A710930,Adoption
A699023,Transfer
A758345,Adoption
A638625,Transfer
A705528,Transfer
A632004,Transfer
A675829,Adoption
A710824,Adoption
A698771,Adoption
A698646,Adoption
A704561,Transfer
A672090,Return to Owner
A692840,Adoption
A736297,Adoption
A687726,Transfer
A687112,Adoption
A410330,Transfer
A690579,Return to Owner
A693235,Return to Owner
A708740,Transfer
A756282,Return to Owner
A682942,Adoption
A761288,Transfer
A697837,Transfer
A668648,Return to Owner
A690942,Transfer
A734741,Transfer
A700811,Return to Owner
A704291,Transfer
A671458,Adoption
A712166,Transfer
A594497,Return to Owner
A733926,Transfer
A745423,Transfer
A730761,Transfer
A724584,Adoption
A702975,Transfer
A664879,Transfer
A702778,Euthanasia
A748547,Adoption
A721287,Adoption
A725899,Return to Owner
A692243,Adoption
A731125,Adoption
A752717,Transfer
A699286,Transfer
A764582,Adoption
A724228,Adoption
A699022,Transfer
A756630,Transfer
A720190,Transfer
A715511,Transfer
A744936,Return to Owner
A461106,Return to Owner
A698472,Transfer
A682606,Adoption
A752724,Transfer
A708921,Adoption
A748085,Euthanasia
A675416,Return to Owner
A671596,Transfer
A688471,Adoption
A675296,Euthanasia
A751743,Transfer
A698723,Euthanasia
A685995,Return to Owner
A677252,Transfer
A758202,Transfer
A702392,Adoption
A683212,Transfer
A685160,Transfer
A701339,Euthanasia
A688740,Transfer
A723311,Transfer
A690872,Transfer
A706052,Adoption
